Module,Modular Components,Category,Cases,Code Examples,Content,Datasets,Required Packages
Modular 1: Traditional Generative ML,"- CycleGAN Training Pipeline
- Custom Dataset Loader
- Image Augmentation
- Text2Image Prompt Interface",Synthetic Data Generation & Prediction,"- Predicting dockless bike-sharing demand based on satellite image
- Riding activity heatmap generation with urban map
- Solar radiation prediction at the urban-scale",Building Profile Layout Generation from Road Network,"- Use Pix2Pix style GAN model to generate building profile layout from road network
- Illustrate the whole pipeline of GAN, including data processing, training, inference and evaluate
- Datat agumentation to deal with insufficient data volumne","- Building profile and road network dataset (image pair)
  - https://github.com/ualsg/GANmapper","PyTorch, torchvision, CycleGAN, Pillow, matplotlib"
Module 2: LLM for Structuring Information,"- Text Preprocessing Pipeline
- LLM API Calling
- LLM Embedding Extractor
- Vector Clustering
- Q&A over Documents
- Heatmap Visualization
- Wordcloud generation",Unstructured Text Analysis,"- How do short-term rental reviews reflect neighborhood livability over time?
- Can we detect major sentiment shifts before and after a major policy announcement or public event?
- How is generative AI affecting job market? (Job market analysis across industry and time)",Urban Sentiment Classification,"- Extract structured sentiment (location, themes, polarity) from reviews using LLM
- Use NER + classification
- Create sentiment maps to inform urban design","- Yelp open dataset
  - https://business.yelp.com/data/resources/open-dataset/","LangChain, DeepSeek, transformers, pandas, json"
,,,,Airbnb Reviews Analysis,"- Collect Airbnb housing and review data (public dataset Inside Airbnb)
- Classification of reviews' sentiments of different aspects (location, host, facility)
- Create Airbnb aspect-wise impression heatmap and wordcloud","- Airbnb review dataset
  - https://insideairbnb.com/get-the-data/",
,,Knowledge Structuring,"- Can we use LLMs to detect gaps between declared policy priorities and proposed implementation measures in urban planning documents?
- How are terms like “resilience”, “sustainability”, or “equity” defined and operationalized differently across documents?",Energy Action Plan PDF Structuring,"- Extract building/energy info from Energy Action Plans (PDFs)
- Summarize content into JSON format for analysis
- Enable comparison across tribal regions over time","- Energy Action Plans documents
  - https://cchrc.org/","LangChain, PyMuPDF, pdfplumber, transformers, pandas"
,,,,Literature Review of Topics,"- Webcrawl website for relevant papers 
- Go through document by document with specific questions
- Identify insights & keywords
- Catalogue & represent findings",- Collection of literatures from specific topic,
Module 3: Multimodal Reasoning,"- Model Initialization (API calling/Local implementation)
- Image Captioning
- Keyword Extraction from Text",Visual-Language Reasoning,"- Do AI models associate certain architectural styles with particular geographic regions unfairly?
- Urban light pollution areas spotting based on facade material analysis
- Can we visualize gentrification through facade transformation using historical vs. recent street views?
- Thermal defect spotting based on facade and indoor infrared images",Material Bias in AI-generated Architectural Images?,"- Use Text2Image to generate images of buildings
- Generate lots of images
- Parse images",,
,,,,Assessment of conservation status in urban historic districts,"- Categorizing SVIs of historic districts with CLIP
- Evaluting mixing index of historic and added-on buildings
","- Google SVI
  - from Google Map API",
"Modular 4: CV Models (Segmentation, Detection, Tracking)","- Object Detection/Tracking with YOLO
- Semantic Segmentation Model
- Trajectory Extraction
- Visualization",Perception & Prediction from Visual Data,"- What factors influence walking behavior?
- How does visual cleanliness (graffiti, trash, lighting) relate to perceived safety?
- Can we predict CO2 emission using the SVIs?",Pedestrian Behavior Analysis in Public Spaces,"- Detect pedestrians using YOLO- Track movement using DeepSORT
- Analyze flow, dwell time, and walkability","- Webcam data
  - from https://www.skylinewebcams.com/en.html","YOLOv5, OpenCV, DeepSORT, numpy, matplotlib"
,,,,SVI-Based Housing Price Prediction,"- Use subjective perception scores (e.g., cleanliness, greenery) on SVI
- Combine CV scoring with regression to predict housing price- Visual quality → real estate value linkage","- Google SVI
  - from Google Map API
- Califonia housing price dataset
  - from sklearn.datasets","OpenCV, scikit-learn, pandas, matplotlib, PyTorch"
Modular 5: Bias Detection & Interpretability,"- Fairness Metrics Evaluator
- Model Explainer (SHAP/LIME)
- Feature Attribution Visualizer",Bias Detection,"- Do public service recommendation models (e.g., bus stop placement, streetlight allocation) tend to ignore low-density or low-income areas?
- Why citizens' application for housing subsidies or public services was deprioritized?
- Do predictive maintenance systems for infrastructure (e.g., water leaks, power outages) prioritize certain zones? Is this optimization fair?
- In citizen feedback systems (e.g., 311 complaints), are certain types of reports more likely to trigger response recommendations than others? Why?",Credit Decision Bias Auditing,"- Analyze credit data using LLM and interpretable ML
- Detect bias in approval logic (e.g., income, gender)
- Apply SHAP and counterfactual fairness methods","- GermanDataset (credit data)
  - from Air Fairness 360
- COMPAS dataset
  - pre-prepared from https://www.kaggle.com/datasets/danofer/compass","Fairlearn, SHAP, pandas, scikit-learn, transformers"
