listing_id,review_id,date,review_text,overall_impression,decision_tags,location_opinion,location_comment,facility_opinion,facility_comment,host_opinion,host_comment
858590791586915213,1359897611805031041,2025-02-19,"Great stay, good location. Convenient",positive,"good location, convenient",positive,Great location.,neutral,No specific mention of facilities.,neutral,No specific mention of the host.
21165998,329469862,2018-09-29,Very convenient location. Host was kind enough to give us a free upgrade!  Space is a bit crammed but that is Hong Kong. Really awesome restaurants on the same block.,positive,"convenient location, kind host, great restaurants nearby, cramped space",positive,Very convenient location with awesome restaurants on the same block.,negative,Space is a bit crammed but that is typical for Hong Kong.,positive,Host was kind enough to give a free upgrade.
6348825,177165456,2017-08-02,除左细其他都ok,neutral,"small room, acceptable condition",neutral,No specific mention of location.,negative,The room is small.,neutral,No specific mention of host.
1328286909959687741,1419296659137513228,2025-05-12,"This is just like home away from home.... location was just perfect, everything was around the property . This place is well equipped kitchen that's why saved lot of money for food . If you are travelling with family just go with this place. last but not the least about the host , she is very helpful and reply each and every small question so i will give five out of five for this place .",positive,"home away from home, well-equipped kitchen, family-friendly, great host, perfect location",positive,"Location was just perfect, everything was around the property.",positive,"The place is well equipped with a kitchen, saving a lot of money for food.",positive,The host is very helpful and replies to each and every small question.
31662448,705385625912739295,2022-08-31,"Felt good. Rela made Indonesian rib soup and dumplings for me. Delicious!And the house is in a good location, convenient for shopping and strolling.",positive,"great host, good location, delicious food",positive,Convenient for shopping and strolling.,neutral,No specific mention of facilities.,positive,Rela made Indonesian rib soup and dumplings for the guest.
1060653918541140795,1388861345831026977,2025-03-31,"Great price for a simple female only space to stay, was here for 2 nights, you have the entire room for yourself (it's Hong Kong Island side so of course space is a luxury here). Efficient, fuss free place to stay if you're out and about whole day. Convenience store, breakfast spot, metro and airport bus station all at your doorstep",positive,"great price, female only space, convenient location, efficient stay",positive,"Convenience store, breakfast spot, metro and airport bus station all at your doorstep.",neutral,"Simple space with the entire room for yourself, efficient and fuss-free.",neutral,No specific mention of the host in the review.
18096001,185129072,2017-08-21,위치가 진짜 좋습니다 바로 밑이 유명한 제니쿠키에요 침사추이 역도 엄청 가깝고(역안에도 상점이 많아요 기화병가도 있습니다) 새벽에 도착하는 경우가 많은데 Night 버스 타면 쉽게 찾아 올 수 있습니다 시설은 샤워기 수압도 좋고 에어컨도 잘 나와요 무엇보다 호스트분이 정말 친절하셨어요 홍콩 좋아서 또 가고싶은데 다시 이용할 것 같네요 추천드립니다,positive,"great location, clean facility, friendly host, near MTR, good shower pressure",positive,"The location is excellent, right next to a famous bakery and very close to the MTR station.",positive,The shower has good water pressure and the air conditioning works well.,positive,The host was very friendly and helpful.
5678100,319600601,2018-09-07,Andrea真的非常好，非常热情，得知我还会在香港住一段时间后主动为我寻找房源。房子也非常干净，设备很齐全非常方便！赞赞赞！,positive,"great host, clean room, well-equipped facility",neutral,No specific mention of location.,positive,The room is very clean and well-equipped.,positive,"Andrea is very nice and enthusiastic, even helped to find other accommodations."
41434275,1308479815057950421,2024-12-10,숙소 앞에 맛집 및 볼거리가 많아서 너무 좋았고 숙소도 안락했고 뜨거운 물도 잘 나와서 좋았습니다. 1인 여행 시 이용할 숙소로 최고입니다.,positive,"great location, comfortable stay, hot water works well, ideal for solo travelers",positive,Many restaurants and attractions nearby.,positive,The accommodation was comfortable and had hot water.,neutral,No specific mention of the host.
31427826,465536671156804055,2021-10-04,住宿環境跟照片一樣，環境大致清潔，房間提供小型露台感覺非常好，晚上聽着浪聲，令人有一種度假嘅感覺！唯一美中不足的是，房間隔音比較差和Wi-Fi比較慢！不過整體來說都是推介的！,positive,"clean room, small balcony, ocean view, poor soundproofing, slow Wi-Fi",positive,The sound of waves at night gives a vacation feeling.,neutral,"The room is clean and has a small balcony, but the soundproofing is poor and Wi-Fi is slow.",neutral,No specific mention of the host in the review.
