pdf_path,extracted_text
1526439.pdf,"Based on the provided text, here is the extracted key information in the requested markdown table format.

| Location | Main Objectives | Key Actions | Stakeholders | Timeline |
|----------|-----------------|-------------|--------------|----------|
| Aniak | Improve building condition; Decrease energy use; Determine if future retrofit projects are successful. | Check fuel and electrical use monthly; Survey buildings for layout, insulation, condition, and safety; Collect and analyze baseline data; Maintain a maintenance notebook; Monitor data related to seasonal energy use and building operation. | Contractors; Traditional Council; Project staff; Tribal finance director; Tribal building maintenance manager; Occupants; Cold Climate Housing Research Center (CCHRC) | Monthly (energy bill analysis); Period just prior to the energy audit (for baseline data); Mid-2019 (time of publication) |"
1526994.pdf,"Based on the provided text, here is the extracted key information in a markdown table.

| Location | Main Objectives | Key Actions | Stakeholders | Timeline |
| :--- | :--- | :--- | :--- | :--- |
| Kwigillingok | Improve building condition; Decrease energy use; Provide electricity and heat via wind turbines. | Survey buildings; Analyze energy bills; Maintain a maintenance notebook; Collect and manage data (annual fuel oil use, monthly electrical energy use). | I.R.A. Council; Project staff; Tribal finance officer; Contractors; Service providers; Local utility; Emergency services; Building occupants. | N/A |"
1527001.pdf,"Based on the provided text, here is the extracted key information in the requested markdown table format.

| Location | Main Objectives | Key Actions | Stakeholders | Timeline |
|----------|-----------------|-------------|--------------|----------|
| Atmautluak | Create a data monitoring plan for each building to track building improvements; Prepare an Energy Action Plan. | 1. Meet to discuss project goals. <br>2. Collect baseline data. <br>3. Create a data monitoring plan. <br>4. Complete on-site assessments. <br>5. Prepare a draft Energy Action Plan. <br>6. Present the draft plan for feedback. <br>7. Revise and finalize the plan. <br>8. Provide the final plan to the Tribe. | Tribe, CCHRC (Cold Climate Housing Research Center), Energy Audits of Alaska, building staff | May 2018 |"
1527003.pdf,"Based on the provided text, here is the extracted information in a markdown table. The text is fragmented and does not contain a single, coherent description of a project with all the requested details.

| Location | Main Objectives | Key Actions | Stakeholders | Timeline |
|----------|-----------------|-------------|--------------|----------|
| N/A | - Improve building condition<br>- Decrease energy use<br>- Solicit funding for building improvements | - Survey buildings<br>- Analyze energy bills<br>- Develop a thorough project plan<br>- Create a maintenance notebook<br>- Treat and paint siding<br>- Investigate and eliminate unknown electric load<br>- Install setback thermostats<br>- Upgrade lighting to LEDs<br>- Replace bath fans | - I.R.A. Council<br>- Contractors<br>- Service providers<br>- Local utility<br>- Emergency services<br>- The Tribe<br>- Occupants<br>- Energy auditor<br>- Project staff | N/A |"
