review_text,polarity,sentiment,keywords,stars,business_name,latitude,longitude
"Locals recommended Milktooth, and it's an amazing jewel of Indianapolis. I'm glade I had the chance to experience this.",positive,delighted,"Milktooth, jewel, Indianapolis",4.0,Milktooth,39.7591692208,-86.146494347
"I was really between 3 and 4 stars for this one. I LOVE the 96th street Naked Tchopstix so I was very excited to see this one which is closer to my house. The vibe is totally different as this is geared more to take out although they do have a decent size dining area. You order at the counter and they deliver it. My daughter and I tried the sushi bowl. You pick up a piece of paper and  select from a choice of proteins, vegetables, rice and toppings. I like the fact that it is on paper and you don't have to guess what things are or have to shout over the counter to tell the server what you want. The sushi bowl was good but not wonderful. The choices particularly of the vegetables seemed a little too limiting and I felt I had more rice than other food items. The sauces were tasty. My husband ordered the Maui roll which is my favorite roll at the 96th street location and this just was not up that standard. It was good but the quality and consistently was not as good as at 96th street. I would go back though and I think a lot of people would be happy with the sushi bowls. I do want to make a comment about the low reviews that people have given the place because of service. People - it is a sushi place - it isn't McDonalds- so it will be a bit slower. You are not going to order and get out of there in five minutes even though it is called express. As a healthy alternative to fast food in the area, it is worth the wait. Oh and try the bubble tea. I had the strawberry and it was quite yummy. Next time I am going to try the vanilla chai.",positive,content,"sushi bowl, Maui roll, bubble tea",4.0,Naked Tchopstix Express,39.912505,-86.211285
"I love the Brewpub for their variety of dishes.  Nachos, pizza and sandwiches.  Variety of beers to choose from crafted right on sight.    Every time we go, the service is slow.  I think it's just the pace of the restaurant.  It's never a quick beer and a bite of food.  Instead, enjoy the patio and friends, savor that time.    Kid and dog friendly environment.  Also great for your vegetarian and vegan friends.    My go to is a half order of the nachos or fish & chips.    Tried their Pumpkin Seasonal Beer and it's on par with some of my favorite pumpkins.",positive,content,"variety of dishes, slow service, kid and dog friendly",4.0,Broad Ripple Brewpub,39.8735797809,-86.142783297
I stopped here because it was by the hotel I was staying in. The guys working at the shop were super nice and friendly. I really like the buy one get one deal they do. I also ordered some hot wings and they were pretty good. They had a ton of sauce on them which is awesome. Next time I come back to town I will be sure to stop here for some more pizza!,positive,delighted,"friendly staff, buy one get one deal, hot wings",5.0,Just Pizza,39.7881543,-86.2116976
"Milktooth is the place to go if you want a good breakfast cocktail and a twist on traditional brunch. At first glance of the menu, you may think you've never heard of any of these foods for breakfast, and you may be right. I guarantee no matter what you order, you're going to enjoy it.   Milktooth is one of the most popular brunch places in Indy, which means you will typically have a wait. Trust me, it's worth the usual 30 minute wait (on weekends). To make it go by a little faster, they've got a walk up bar for their coffee drinks and pastries. Snack on one of those to give you a preview of the amazing meal you're about to have.  Their menu changes from time to time but they have a few things that stay one the menu but change ingredients. I love all of their variations on a Dutch pancake, and their raclette grilled cheese is to die for.  If you're making this a boozy breakfast, don't pass up on the michelada. And sit outside if it's warm enough!",positive,delighted,"breakfast cocktail, brunch, wait, Dutch pancake, michelada",5.0,Milktooth,39.7591692208,-86.146494347
"I typically do my laundry at my boyfriend's house, but I had family who recently stayed with me and had a bunch of towels, sheets, and comforters to wash.  I was searching for a laundry mat that would be safe, clean and not full of questionable people.  I was so happy to find this facility.  It is clean, well-lit, and the staff is so friendly and helpful.  I was amazed at the speed of the laundry and dryer.  I completed 4 oversize loads ( probably equal to 8 regular loads) in just under 2 hours!  This place has security cameras, flat screen T.V's, magazines, wi-fi, clean bathrooms, vending machines.  It is a wonderful atmosphere to do your laundry.  It was not overly busy, there are plenty of washers and dryers.  I am so happy that I found this place.  Thank you LAUNDROMAT!!!",positive,delighted,"clean, friendly staff, fast service",5.0,Laundromat,39.8748864619,-86.1195512452
Very impressed with this place! The food was amazing. Quick service chipotle style line ordering but with high-quality Indian food. Also the staff was super helpful in helping me decide what to get since I'm an Indian food newbie. Can't wait to eat there again!,positive,delighted,"food, service, staff",5.0,Tandoor & Tikka,39.780457,-86.172077
I've been to many art museums and was surprised to see a museum this beautiful with such a great collection to be FREE! I was so happy to have had discovered this museum in my short time in Indianapolis. I loved the African Art and the Modern Art sections (although I did make a mistake taking out my camera for the Modern Art museums.. that's a no no). The outdoor sculpture garden and gift shop was awesome as well. Highly recommended!,positive,delighted,"art museum, free, sculpture garden",5.0,Newfields: A Place for Nature and the Arts,39.8274175724,-86.1896065943
"Awesome service (ask for Amanda, resident comedian); very friendly staff.  Food was really good and beer was cold.",positive,delighted,"service, staff, food, beer",5.0,Stacked Pickle - 96th Street,39.9254897722,-86.0890453372
"My sister-in-law and I visited this restaurant on 8/28/15 mid afternoon.  We were seated after requested 3 times that the hostess speak a little louder because we couldn't even hear her with the background music.  We were seated in a booth with a never ending Larry King vitamin commercial on the TV - really?  Our waitress introduced herself and a new trainee and then we never saw her again.  Two other wait staff seemed to be sharing our table, but no idea who was responsible for our table.  We got our drinks and ordered, but food took forever considering there was not more than 15-20 filled tables in the entire restaurant.  Burgers were not bad - I ordered the blue cheese burger and it would have been better with less blue cheese, way too much!  Fries and onion sticks were very good.  But no one came to see if we were satisfied, needing anything, etc and took two requests and waiting to get a carry out box.  There was a family seated across the aisle from us when we arrived and we assumed they had finished their meal and were ""hanging out"".  Only after we received our food did we understand they had already ordered and still did not have their food!  I doubt I will return to this restaurant in the future.",negative,frustrated,"service, waiting time, food quality",2.0,Cheeseburger in Paradise,39.664583,-86.089236
"In short, the food was decently good, but completely overpriced.  The guacamole and my Mojito were probably the highlight of the meal. I had the peach pork medallions, which were nicely cooked, but lacked flavor. I tried the corn cakes with Barbacoa and that was pretty good.    The atmosphere was inviting with a hip feel if that's what you're looking for.  What was really annoying was the parking situation. For a place with price points such as these and limited parking spaces, a valet service should be provided either at a cost or complimentary.  Don't even try and park in the back of the building, it's tight and dangerous even getting there and back.  I ended up parking three blocks away and broke a sweat walking in the dead of summer to the front entrance.",negative,frustrated,"overpriced, parking, atmosphere",3.0,Delicia,39.847406,-86.1451809
"They have great prices if you order family style. We tried the pot roast and it was just as good carry out as it would have been at the restaurant. They packaged everything nicely and it stayed warm after the 30 min car ride. There was definitely enough for a family of 4. The green beans were amazing! I would definitely recommend. It's nothing special, just a good family restaurant",positive,content,"pot roast, family style, green beans",4.0,Bob Evans,39.9265503193,-86.0354844434
Good food friendly folks Don't come in full. Quick and good portions Get the tips seating outside,positive,content,"food, service, portions",4.0,Bar-B-Q Heaven,39.8104692,-86.1413134
"Stopped in on a Monday around 7pm and the place was pretty full.  The bartender was friendly and attentive.  The bar seemed well stocked, not a drinker so take that as you will.  Now the food...THE FOOD was fantastic!  I ordered the Pear Gorgonzola Melt.  How they fit all that amazingness on one plate is impressive.  The clientele is all ages and backgrounds, which is great.  Nutshell:  Definitely check this place out for a good sandwich at a good price (~$10) and to catch up on the footy games.",positive,delighted,"food, bartender, price",5.0,Chatham Tap Mass. Ave.,39.7766084,-86.1463714
"Freedom toast = check, freedom fries = check, awesome breakfast food = check.  The is a greek owned pancake house (hence the over doing it on naming the food) and is a great alternative to your larger chain pancake houses such as Robert Evans, IHopity hop, and Mr. Dennys.   We eat here every new years day, typically around 2 pm when we drag ourselves out of a drunken slumber to brave the bitter cold. They never have a problem seating our group of about 12-15 and are pleasant and quick service.   The energetic owner likes to roam around making sure everything is going well. In my opinion, the food is also better than the chains. The secret ingredient is love.",positive,delighted,"breakfast food, service, owner",4.0,Blueberry Hill Pancake House,39.7723413,-86.0279803
"Last time:  This is the second and last time my wife and I visit this place.  We were the ONLY table, yet it took the waitress at least 15 minutes to get our order.  From then our pizzas took about 45 minutes (they were both small).  While waiting for our pizza I had to move us to the bar are a.  I couldn't stand listening to one of the other waitresses bitching about the place non-stop while our waitress was sweeping.  Her bitching was amplified in that echo chamber.  And after all that waiting my pizza was barely warm.  This place has now earned a spot on my short list of PLACES TO AVOID.",negative,frustrated,"waitress, pizza, waiting time",1.0,Giordano's,39.7681769,-86.1596387
"Busy place, but we were offered extra- special coffee while we waited. No sooner than it was ready, so was our table. The server was welcoming and offered suggestions for us after we made her aware of some dietary restrictions. My daughter and I shared a salad, entree, and Special grits. Every bite was delicious, beautifully presented, and reasonably priced as downtown prices go. We like this restaurant a lot.",positive,delighted,"service, food quality, pricing",5.0,Milktooth,39.7591692208,-86.146494347
"Holy Mole! That was good.   Enjoyed a wonderful evening here as part of a Yelp Elite event. Got to sample a wide variety of their food, and each dish was better than the next. The cocktail -- created special for the event, I think -- was fantastic (and I'm not usually a cocktail kind of guy...). The manager and staff are as attentive, knowledgeable, and friendly as could be.   Basically, I consider the whole event an enticing appetizer for a much-anticipated main course: coming back for a full meal!",positive,delighted,"food, cocktail, staff, event",5.0,La Mulita,39.84740448,-86.1451797485
"Stayed for one week post Christmas. Unless you take adjoining rooms as a family, strangers conversations/coughs/clearing throats/fights/dogs barking etc feel as if they are in your bed with you. Only slept two out of seven nights after hotel cleared out after New Years. Connecting doors are very poorly insulated. Staff at hotel is superior...really excellent but Starwood needs to do something about insulating those doors. Have stayed many places with connecting doors and never experienced anything as bad. Poor materials used????",negative,frustrated,"connecting doors, noise, staff",2.0,Sheraton Indianapolis Hotel at Keystone Crossing,39.9153605,-86.1084079
