listing_id,review_id,date,review_text,overall_impression,decision_tags,location_opinion,location_comment,facility_opinion,facility_comment,host_opinion,host_comment
858590791586915213,1359897611805031041,2025-02-19,"Great stay, good location. Convenient",positive,"good location, convenient, great stay",positive,Good and convenient location,neutral,No specific mention of facilities,neutral,No specific mention of the host
21165998,329469862,2018-09-29,Very convenient location. Host was kind enough to give us a free upgrade!  Space is a bit crammed but that is Hong Kong. Really awesome restaurants on the same block.,positive,"convenient location, kind host, free upgrade, near great restaurants, compact space",positive,Very convenient with awesome restaurants on the same block.,neutral,"Space is a bit crammed, which is typical for Hong Kong.",positive,Kind enough to provide a free upgrade.
6348825,177165456,2017-08-02,除左细其他都ok,neutral,"small room, acceptable overall, compact space, basic accommodation",neutral,No specific mention of location in the review.,negative,The room is described as small (除左细).,neutral,No specific mention of the host in the review.
1328286909959687741,1419296659137513228,2025-05-12,"This is just like home away from home.... location was just perfect, everything was around the property . This place is well equipped kitchen that's why saved lot of money for food . If you are travelling with family just go with this place. last but not the least about the host , she is very helpful and reply each and every small question so i will give five out of five for this place .",positive,"family-friendly, well-equipped kitchen, great location, responsive host, value for money",positive,Perfect location with everything around the property.,positive,Well-equipped kitchen that helped save money on food.,positive,Very helpful and responsive to every question.
31662448,705385625912739295,2022-08-31,"Felt good. Rela made Indonesian rib soup and dumplings for me. Delicious!And the house is in a good location, convenient for shopping and strolling.",positive,"friendly host, good location, home-cooked food, convenient for shopping",positive,"House is in a good location, convenient for shopping and strolling.",neutral,No specific mention of facilities in the review.,positive,Host Rela made Indonesian rib soup and dumplings for the guest.
1060653918541140795,1388861345831026977,2025-03-31,"Great price for a simple female only space to stay, was here for 2 nights, you have the entire room for yourself (it's Hong Kong Island side so of course space is a luxury here). Efficient, fuss free place to stay if you're out and about whole day. Convenience store, breakfast spot, metro and airport bus station all at your doorstep",positive,"great value, convenient location, female-only space, entire room privacy, efficient stay",positive,"Convenient with metro, airport bus, breakfast spots, and stores nearby.",positive,"Simple but efficient and fuss-free, with entire room privacy.",neutral,No direct mention of host interaction.
18096001,185129072,2017-08-21,위치가 진짜 좋습니다 바로 밑이 유명한 제니쿠키에요 침사추이 역도 엄청 가깝고(역안에도 상점이 많아요 기화병가도 있습니다) 새벽에 도착하는 경우가 많은데 Night 버스 타면 쉽게 찾아 올 수 있습니다 시설은 샤워기 수압도 좋고 에어컨도 잘 나와요 무엇보다 호스트분이 정말 친절하셨어요 홍콩 좋아서 또 가고싶은데 다시 이용할 것 같네요 추천드립니다,positive,"excellent location near MTR, friendly host, good shower pressure, near famous Jenny Bakery, easy night bus access",positive,"Very good location right above famous Jenny Bakery, very close to Tsim Sha Tsui station with many shops, and easy to find via night bus for late arrivals.",positive,Good shower water pressure and air conditioning works well.,positive,Host was very friendly and kind.
5678100,319600601,2018-09-07,Andrea真的非常好，非常热情，得知我还会在香港住一段时间后主动为我寻找房源。房子也非常干净，设备很齐全非常方便！赞赞赞！,positive,"great host, clean accommodation, well-equipped facilities, helpful host",neutral,No specific mention of location in the review.,positive,"The accommodation is very clean and well-equipped, making it very convenient.",positive,"Andrea is very good, enthusiastic, and proactively helped find other accommodations."
41434275,1308479815057950421,2024-12-10,숙소 앞에 맛집 및 볼거리가 많아서 너무 좋았고 숙소도 안락했고 뜨거운 물도 잘 나와서 좋았습니다. 1인 여행 시 이용할 숙소로 최고입니다.,positive,"great food nearby, many attractions nearby, comfortable accommodation, good hot water, ideal for solo traveler",positive,Many good restaurants and attractions nearby,positive,Comfortable accommodation with good hot water supply,neutral,No specific mention of host in the review
31427826,465536671156804055,2021-10-04,住宿環境跟照片一樣，環境大致清潔，房間提供小型露台感覺非常好，晚上聽着浪聲，令人有一種度假嘅感覺！唯一美中不足的是，房間隔音比較差和Wi-Fi比較慢！不過整體來說都是推介的！,positive,"clean environment, small balcony, ocean sounds, poor soundproofing, slow Wi-Fi",neutral,"No specific location details mentioned, but proximity to ocean implied.",positive,"Accommodation matches photos, generally clean, with a nice small balcony.",neutral,Host is not mentioned in the review.
